Month,DivisionCode,Division,CPI Index,YoY %
1995-05-01,06,Health,68.6,3.16
1995-05-01,07,Transport,70.9,1.58
1995-05-01,09,"Recreation, Sport & Culture",83.4,2.58
1995-05-01,overall,Overall CPI,68.8,3.93
1995-06-01,01,Food & Beverages,57.8,5.47
1995-06-01,02,Alcoholic Beverages & Tobacco,46.5,2.88
1995-06-01,03,Clothing & Footwear,122.0,0.33
1995-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",77.4,3.48
1995-06-01,05,Furnishings & Household Maintenance,85.3,3.77
1995-06-01,06,Health,68.6,3.0
1995-06-01,07,Transport,71.1,1.72
1995-06-01,09,"Recreation, Sport & Culture",83.5,2.58
1995-06-01,overall,Overall CPI,68.8,4.08
1995-07-01,01,Food & Beverages,58.0,5.65
1995-07-01,02,Alcoholic Beverages & Tobacco,46.6,3.1
1995-07-01,03,Clothing & Footwear,122.5,0.0
1995-07-01,04,"Housing, Water, Electricity, Gas & Other Fuels",77.4,3.75
1995-07-01,05,Furnishings & Household Maintenance,85.6,3.88
1995-07-01,06,Health,68.7,2.84
1995-07-01,07,Transport,71.4,2.15
1995-07-01,09,"Recreation, Sport & Culture",83.5,2.45
1995-07-01,overall,Overall CPI,68.9,3.45
1995-08-01,01,Food & Beverages,58.1,6.02
1995-08-01,02,Alcoholic Beverages & Tobacco,46.6,2.87
1995-08-01,03,Clothing & Footwear,121.8,0.08
1995-08-01,04,"Housing, Water, Electricity, Gas & Other Fuels",77.9,3.45
1995-08-01,05,Furnishings & Household Maintenance,85.6,3.76
1995-08-01,06,Health,68.8,2.84
1995-08-01,07,Transport,71.4,1.71
1995-08-01,09,"Recreation, Sport & Culture",84.0,2.69
1995-08-01,overall,Overall CPI,69.0,3.45
1995-09-01,01,Food & Beverages,58.4,5.42
1995-09-01,02,Alcoholic Beverages & Tobacco,46.7,3.32
1995-09-01,03,Clothing & Footwear,122.0,0.0
1995-09-01,04,"Housing, Water, Electricity, Gas & Other Fuels",77.9,3.45
1995-09-01,05,Furnishings & Household Maintenance,85.7,3.88
1995-09-01,06,Health,69.1,2.83
1995-09-01,07,Transport,71.4,1.56
1995-09-01,09,"Recreation, Sport & Culture",84.0,2.69
1995-09-01,overall,Overall CPI,69.3,3.43
1995-10-01,01,Food & Beverages,58.7,5.39
1995-10-01,02,Alcoholic Beverages & Tobacco,46.7,3.32
1995-10-01,03,Clothing & Footwear,120.9,-0.41
1995-10-01,04,"Housing, Water, Electricity, Gas & Other Fuels",77.9,3.04
1995-10-01,05,Furnishings & Household Maintenance,85.7,3.75
1995-10-01,06,Health,69.1,2.67
1995-10-01,07,Transport,71.8,2.13
1995-10-01,09,"Recreation, Sport & Culture",84.0,2.56
1995-10-01,overall,Overall CPI,69.4,3.43
1995-11-01,01,Food & Beverages,59.1,5.16
1995-11-01,02,Alcoholic Beverages & Tobacco,46.7,3.09
1995-11-01,03,Clothing & Footwear,121.5,-0.16
1995-11-01,04,"Housing, Water, Electricity, Gas & Other Fuels",78.5,3.02
1995-11-01,05,Furnishings & Household Maintenance,85.7,3.63
1995-11-01,06,Health,69.2,2.67
1995-11-01,07,Transport,71.8,1.7
1995-11-01,09,"Recreation, Sport & Culture",84.0,2.69
1995-11-01,overall,Overall CPI,69.7,3.26
1995-12-01,01,Food & Beverages,59.4,4.76
1995-12-01,02,Alcoholic Beverages & Tobacco,46.7,3.09
1995-12-01,03,Clothing & Footwear,121.6,-0.16
1995-12-01,04,"Housing, Water, Electricity, Gas & Other Fuels",78.5,3.02
1995-12-01,05,Furnishings & Household Maintenance,85.7,3.75
1995-12-01,06,Health,69.3,2.67
1995-12-01,07,Transport,71.9,1.84
1995-12-01,09,"Recreation, Sport & Culture",84.1,2.94
1995-12-01,overall,Overall CPI,69.9,3.25
1996-01-01,01,Food & Beverages,60.0,4.9
1996-01-01,02,Alcoholic Beverages & Tobacco,46.7,2.64
1996-01-01,03,Clothing & Footwear,121.9,-0.33
1996-01-01,04,"Housing, Water, Electricity, Gas & Other Fuels",78.5,2.75
1996-01-01,05,Furnishings & Household Maintenance,85.6,3.63
1996-01-01,06,Health,70.1,3.55
1996-01-01,07,Transport,72.1,1.98
1996-01-01,09,"Recreation, Sport & Culture",85.5,3.39
1996-01-01,overall,Overall CPI,70.3,3.38
1996-02-01,01,Food & Beverages,60.7,4.84
1996-02-01,02,Alcoholic Beverages & Tobacco,46.6,2.42
1996-02-01,03,Clothing & Footwear,120.7,-1.39
1996-02-01,04,"Housing, Water, Electricity, Gas & Other Fuels",79.4,3.39
1996-02-01,05,Furnishings & Household Maintenance,85.5,3.51
1996-02-01,06,Health,70.3,3.69
1996-02-01,07,Transport,72.1,1.98
1996-02-01,09,"Recreation, Sport & Culture",86.2,3.98
1996-02-01,overall,Overall CPI,70.8,3.51
1996-03-01,01,Food & Beverages,60.3,4.69
1996-03-01,02,Alcoholic Beverages & Tobacco,46.7,2.41
1996-03-01,03,Clothing & Footwear,121.8,-0.57
1996-03-01,04,"Housing, Water, Electricity, Gas & Other Fuels",79.0,2.86
1996-03-01,05,Furnishings & Household Maintenance,85.6,3.01
1996-03-01,06,Health,70.5,3.68
1996-03-01,07,Transport,72.1,1.98
1996-03-01,09,"Recreation, Sport & Culture",86.3,3.6
1996-03-01,overall,Overall CPI,70.5,3.22
1996-04-01,01,Food & Beverages,60.9,6.1
1996-04-01,02,Alcoholic Beverages & Tobacco,46.7,2.41
1996-04-01,03,Clothing & Footwear,121.5,-0.74
1996-04-01,04,"Housing, Water, Electricity, Gas & Other Fuels",79.0,2.6
1996-04-01,05,Furnishings & Household Maintenance,85.6,3.01
1996-04-01,06,Health,70.7,3.51
1996-04-01,07,Transport,72.1,1.84
1996-04-01,09,"Recreation, Sport & Culture",86.5,3.72
1996-04-01,overall,Overall CPI,70.9,3.81
1996-05-01,01,Food & Beverages,61.1,5.34
1996-05-01,02,Alcoholic Beverages & Tobacco,47.5,2.37
1996-05-01,03,Clothing & Footwear,121.6,-0.33
1996-05-01,04,"Housing, Water, Electricity, Gas & Other Fuels",80.0,3.49
1996-05-01,05,Furnishings & Household Maintenance,85.5,0.23
1996-05-01,06,Health,70.8,3.21
1996-05-01,07,Transport,72.5,2.26
1996-05-01,09,"Recreation, Sport & Culture",86.5,3.72
1996-05-01,overall,Overall CPI,71.2,3.49
1996-06-01,01,Food & Beverages,61.3,6.06
1996-06-01,02,Alcoholic Beverages & Tobacco,47.5,2.15
1996-06-01,03,Clothing & Footwear,121.5,-0.41
1996-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",80.0,3.36
1996-06-01,05,Furnishings & Household Maintenance,85.5,0.23
1996-06-01,06,Health,70.9,3.35
1996-06-01,07,Transport,72.6,2.11
1996-06-01,09,"Recreation, Sport & Culture",86.6,3.71
1996-06-01,overall,Overall CPI,71.3,3.63
1996-07-01,01,Food & Beverages,61.9,6.72
1996-07-01,02,Alcoholic Beverages & Tobacco,47.6,2.15
1996-07-01,03,Clothing & Footwear,121.6,-0.73
1996-07-01,04,"Housing, Water, Electricity, Gas & Other Fuels",80.0,3.36
1996-07-01,05,Furnishings & Household Maintenance,85.7,0.12
1996-07-01,06,Health,71.3,3.78
1996-07-01,07,Transport,71.9,0.7
1996-07-01,09,"Recreation, Sport & Culture",86.6,3.71
1996-07-01,overall,Overall CPI,71.5,3.77
1996-08-01,01,Food & Beverages,61.7,6.2
1996-08-01,02,Alcoholic Beverages & Tobacco,47.6,2.15
1996-08-01,03,Clothing & Footwear,121.0,-0.66
1996-08-01,04,"Housing, Water, Electricity, Gas & Other Fuels",80.6,3.47
1996-08-01,05,Furnishings & Household Maintenance,85.7,0.12
1996-08-01,06,Health,71.4,3.78
1996-08-01,07,Transport,71.9,0.7
1996-08-01,09,"Recreation, Sport & Culture",86.6,3.1
1996-08-01,overall,Overall CPI,71.5,3.62
1996-09-01,01,Food & Beverages,62.2,6.51
1996-09-01,02,Alcoholic Beverages & Tobacco,47.6,1.93
1996-09-01,03,Clothing & Footwear,121.0,-0.82
1996-09-01,04,"Housing, Water, Electricity, Gas & Other Fuels",80.6,3.47
1996-09-01,05,Furnishings & Household Maintenance,85.7,0.0
1996-09-01,06,Health,71.6,3.62
1996-09-01,07,Transport,72.0,0.84
1996-09-01,09,"Recreation, Sport & Culture",86.3,2.74
1996-09-01,overall,Overall CPI,71.8,3.61
1996-10-01,01,Food & Beverages,62.2,5.96
1996-10-01,02,Alcoholic Beverages & Tobacco,47.6,1.93
1996-10-01,03,Clothing & Footwear,119.5,-1.16
1996-10-01,04,"Housing, Water, Electricity, Gas & Other Fuels",80.7,3.59
1996-10-01,05,Furnishings & Household Maintenance,85.6,-0.12
1996-10-01,06,Health,71.8,3.91
1996-10-01,07,Transport,72.1,0.42
1996-10-01,09,"Recreation, Sport & Culture",86.3,2.74
1996-10-01,overall,Overall CPI,71.8,3.46
1996-11-01,01,Food & Beverages,62.8,6.26
1996-11-01,02,Alcoholic Beverages & Tobacco,47.6,1.93
1996-11-01,03,Clothing & Footwear,121.4,-0.08
1996-11-01,04,"Housing, Water, Electricity, Gas & Other Fuels",81.0,3.18
1996-11-01,05,Furnishings & Household Maintenance,85.6,-0.12
1996-11-01,06,Health,71.8,3.76
1996-11-01,07,Transport,72.3,0.7
1996-11-01,09,"Recreation, Sport & Culture",86.2,2.62
1996-11-01,overall,Overall CPI,72.0,3.3
1996-12-01,01,Food & Beverages,63.2,6.4
1996-12-01,02,Alcoholic Beverages & Tobacco,47.6,1.93
1996-12-01,03,Clothing & Footwear,120.4,-0.99
1996-12-01,04,"Housing, Water, Electricity, Gas & Other Fuels",80.7,2.8
1996-12-01,05,Furnishings & Household Maintenance,85.6,-0.12
1996-12-01,06,Health,72.0,3.9
1996-12-01,07,Transport,72.4,0.7
1996-12-01,09,"Recreation, Sport & Culture",86.2,2.5
1996-12-01,overall,Overall CPI,72.2,3.29
1997-01-01,01,Food & Beverages,63.5,5.83
1997-01-01,02,Alcoholic Beverages & Tobacco,47.5,1.71
1997-01-01,03,Clothing & Footwear,120.8,-0.9
1997-01-01,04,"Housing, Water, Electricity, Gas & Other Fuels",80.7,2.8
1997-01-01,05,Furnishings & Household Maintenance,85.6,0.0
1997-01-01,06,Health,72.7,3.71
1997-01-01,07,Transport,72.6,0.69
1997-01-01,09,"Recreation, Sport & Culture",86.4,1.05
1997-01-01,overall,Overall CPI,72.5,3.13
1997-02-01,01,Food & Beverages,64.2,5.77
1997-02-01,02,Alcoholic Beverages & Tobacco,47.5,1.93
1997-02-01,03,Clothing & Footwear,121.1,0.33
1997-02-01,04,"Housing, Water, Electricity, Gas & Other Fuels",81.4,2.52
1997-02-01,05,Furnishings & Household Maintenance,85.7,0.23
1997-02-01,06,Health,72.9,3.7
1997-02-01,07,Transport,72.6,0.69
1997-02-01,09,"Recreation, Sport & Culture",86.5,0.35
1997-02-01,overall,Overall CPI,72.9,2.97
1997-03-01,01,Food & Beverages,63.9,5.97
1997-03-01,02,Alcoholic Beverages & Tobacco,47.5,1.71
1997-03-01,03,Clothing & Footwear,120.8,-0.82
1997-03-01,04,"Housing, Water, Electricity, Gas & Other Fuels",81.4,3.04
1997-03-01,05,Furnishings & Household Maintenance,85.7,0.12
1997-03-01,06,Health,73.1,3.69
1997-03-01,07,Transport,72.6,0.69
1997-03-01,09,"Recreation, Sport & Culture",86.6,0.35
1997-03-01,overall,Overall CPI,72.8,3.26
1997-04-01,01,Food & Beverages,63.5,4.27
1997-04-01,02,Alcoholic Beverages & Tobacco,47.6,1.93
1997-04-01,03,Clothing & Footwear,120.6,-0.74
1997-04-01,04,"Housing, Water, Electricity, Gas & Other Fuels",81.4,3.04
1997-04-01,05,Furnishings & Household Maintenance,85.7,0.12
1997-04-01,06,Health,73.1,3.39
1997-04-01,07,Transport,72.6,0.69
1997-04-01,09,"Recreation, Sport & Culture",86.6,0.12
1997-04-01,overall,Overall CPI,72.7,2.54
1997-05-01,01,Food & Beverages,63.5,3.93
1997-05-01,02,Alcoholic Beverages & Tobacco,47.6,0.21
1997-05-01,03,Clothing & Footwear,120.3,-1.07
1997-05-01,04,"Housing, Water, Electricity, Gas & Other Fuels",82.6,3.25
1997-05-01,05,Furnishings & Household Maintenance,85.6,0.12
1997-05-01,06,Health,73.4,3.67
1997-05-01,07,Transport,72.6,0.14
1997-05-01,09,"Recreation, Sport & Culture",86.6,0.12
1997-05-01,overall,Overall CPI,73.0,2.53
1997-06-01,01,Food & Beverages,63.3,3.26
1997-06-01,02,Alcoholic Beverages & Tobacco,47.6,0.21
1997-06-01,03,Clothing & Footwear,120.8,-0.58
1997-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",82.7,3.37
1997-06-01,05,Furnishings & Household Maintenance,85.6,0.12
1997-06-01,06,Health,73.6,3.81
1997-06-01,07,Transport,72.6,0.0
1997-06-01,09,"Recreation, Sport & Culture",86.6,0.0
1997-06-01,overall,Overall CPI,72.9,2.24
1997-07-01,01,Food & Beverages,63.5,2.58
1997-07-01,02,Alcoholic Beverages & Tobacco,47.6,0.0
1997-07-01,03,Clothing & Footwear,120.9,-0.58
1997-07-01,04,"Housing, Water, Electricity, Gas & Other Fuels",82.7,3.37
1997-07-01,05,Furnishings & Household Maintenance,85.5,-0.23
1997-07-01,06,Health,73.8,3.51
1997-07-01,07,Transport,72.6,0.97
1997-07-01,09,"Recreation, Sport & Culture",86.7,0.12
1997-07-01,overall,Overall CPI,73.0,2.1
1997-08-01,01,Food & Beverages,63.6,3.08
1997-08-01,02,Alcoholic Beverages & Tobacco,48.3,1.47
1997-08-01,03,Clothing & Footwear,120.9,-0.08
1997-08-01,04,"Housing, Water, Electricity, Gas & Other Fuels",83.2,3.23
1997-08-01,05,Furnishings & Household Maintenance,85.4,-0.35
1997-08-01,06,Health,73.9,3.5
1997-08-01,07,Transport,72.6,0.97
1997-08-01,09,"Recreation, Sport & Culture",86.7,0.12
1997-08-01,overall,Overall CPI,73.2,2.38
1997-09-01,01,Food & Beverages,64.1,3.05
1997-09-01,02,Alcoholic Beverages & Tobacco,48.3,1.47
1997-09-01,03,Clothing & Footwear,120.3,-0.58
1997-09-01,04,"Housing, Water, Electricity, Gas & Other Fuels",83.2,3.23
1997-09-01,05,Furnishings & Household Maintenance,85.4,-0.35
1997-09-01,06,Health,74.0,3.35
1997-09-01,07,Transport,72.6,0.83
1997-09-01,09,"Recreation, Sport & Culture",86.8,0.58
1997-09-01,overall,Overall CPI,73.4,2.23
1997-10-01,01,Food & Beverages,64.6,3.86
1997-10-01,02,Alcoholic Beverages & Tobacco,48.3,1.47
1997-10-01,03,Clothing & Footwear,119.0,-0.42
1997-10-01,04,"Housing, Water, Electricity, Gas & Other Fuels",83.3,3.22
1997-10-01,05,Furnishings & Household Maintenance,85.9,0.35
1997-10-01,06,Health,74.2,3.34
1997-10-01,07,Transport,72.6,0.69
1997-10-01,09,"Recreation, Sport & Culture",86.8,0.58
1997-10-01,overall,Overall CPI,73.7,2.65
1997-11-01,01,Food & Beverages,64.7,3.03
1997-11-01,02,Alcoholic Beverages & Tobacco,48.3,1.47
1997-11-01,03,Clothing & Footwear,120.8,-0.49
1997-11-01,04,"Housing, Water, Electricity, Gas & Other Fuels",84.0,3.7
1997-11-01,05,Furnishings & Household Maintenance,86.1,0.58
1997-11-01,06,Health,74.6,3.9
1997-11-01,07,Transport,72.8,0.69
1997-11-01,09,"Recreation, Sport & Culture",86.9,0.81
1997-11-01,overall,Overall CPI,73.9,2.64
1997-12-01,01,Food & Beverages,65.5,3.64
1997-12-01,02,Alcoholic Beverages & Tobacco,48.4,1.68
1997-12-01,03,Clothing & Footwear,119.9,-0.42
1997-12-01,04,"Housing, Water, Electricity, Gas & Other Fuels",84.1,4.21
1997-12-01,05,Furnishings & Household Maintenance,86.4,0.93
1997-12-01,06,Health,75.1,4.31
1997-12-01,07,Transport,72.4,0.0
1997-12-01,09,"Recreation, Sport & Culture",87.2,1.16
1997-12-01,overall,Overall CPI,74.3,2.91
1998-01-01,01,Food & Beverages,66.7,5.04
1998-01-01,02,Alcoholic Beverages & Tobacco,48.4,1.89
1998-01-01,03,Clothing & Footwear,120.6,-0.17
1998-01-01,04,"Housing, Water, Electricity, Gas & Other Fuels",84.1,4.21
1998-01-01,05,Furnishings & Household Maintenance,86.7,1.29
1998-01-01,06,Health,75.8,4.26
1998-01-01,07,Transport,72.7,0.14
1998-01-01,09,"Recreation, Sport & Culture",87.8,1.62
1998-01-01,overall,Overall CPI,75.0,3.45
1998-02-01,01,Food & Beverages,68.5,6.7
1998-02-01,02,Alcoholic Beverages & Tobacco,48.6,2.32
1998-02-01,03,Clothing & Footwear,121.8,0.58
1998-02-01,04,"Housing, Water, Electricity, Gas & Other Fuels",85.3,4.79
1998-02-01,05,Furnishings & Household Maintenance,87.4,1.98
1998-02-01,06,Health,76.6,5.08
1998-02-01,07,Transport,72.7,0.14
1998-02-01,09,"Recreation, Sport & Culture",88.2,1.97
1998-02-01,overall,Overall CPI,76.1,4.39
1998-03-01,01,Food & Beverages,69.2,8.29
1998-03-01,02,Alcoholic Beverages & Tobacco,48.7,2.53
1998-03-01,03,Clothing & Footwear,121.7,0.75
1998-03-01,04,"Housing, Water, Electricity, Gas & Other Fuels",85.3,4.79
1998-03-01,05,Furnishings & Household Maintenance,88.3,3.03
1998-03-01,06,Health,77.3,5.75
1998-03-01,07,Transport,72.7,0.14
1998-03-01,09,"Recreation, Sport & Culture",88.5,2.19
1998-03-01,overall,Overall CPI,76.6,5.22
1998-04-01,01,Food & Beverages,69.5,9.45
1998-04-01,02,Alcoholic Beverages & Tobacco,48.8,2.52
1998-04-01,03,Clothing & Footwear,122.2,1.33
1998-04-01,04,"Housing, Water, Electricity, Gas & Other Fuels",85.3,4.79
1998-04-01,05,Furnishings & Household Maintenance,88.7,3.5
1998-04-01,06,Health,77.7,6.29
1998-04-01,07,Transport,72.6,0.0
1998-04-01,09,"Recreation, Sport & Culture",88.6,2.31
1998-04-01,overall,Overall CPI,76.7,5.5
1998-05-01,01,Food & Beverages,69.7,9.76
1998-05-01,02,Alcoholic Beverages & Tobacco,48.9,2.73
1998-05-01,03,Clothing & Footwear,121.1,0.67
1998-05-01,04,"Housing, Water, Electricity, Gas & Other Fuels",86.3,4.48
1998-05-01,05,Furnishings & Household Maintenance,89.1,4.09
1998-05-01,06,Health,77.9,6.13
1998-05-01,07,Transport,72.6,0.0
1998-05-01,09,"Recreation, Sport & Culture",88.7,2.42
1998-05-01,overall,Overall CPI,76.9,5.34
1998-06-01,01,Food & Beverages,70.7,11.69
1998-06-01,02,Alcoholic Beverages & Tobacco,49.1,3.15
1998-06-01,03,Clothing & Footwear,122.2,1.16
1998-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",86.3,4.35
1998-06-01,05,Furnishings & Household Maintenance,89.2,4.21
1998-06-01,06,Health,78.6,6.79
1998-06-01,07,Transport,72.5,-0.14
1998-06-01,09,"Recreation, Sport & Culture",89.6,3.46
1998-06-01,overall,Overall CPI,77.5,6.31
1998-07-01,01,Food & Beverages,70.1,10.39
1998-07-01,02,Alcoholic Beverages & Tobacco,49.2,3.36
1998-07-01,03,Clothing & Footwear,121.7,0.66
1998-07-01,04,"Housing, Water, Electricity, Gas & Other Fuels",86.3,4.35
1998-07-01,05,Furnishings & Household Maintenance,89.5,4.68
1998-07-01,06,Health,78.7,6.64
1998-07-01,07,Transport,72.4,-0.28
1998-07-01,09,"Recreation, Sport & Culture",90.0,3.81
1998-07-01,overall,Overall CPI,77.3,5.89
1998-08-01,01,Food & Beverages,69.9,9.91
1998-08-01,02,Alcoholic Beverages & Tobacco,49.2,1.86
1998-08-01,03,Clothing & Footwear,121.9,0.83
1998-08-01,04,"Housing, Water, Electricity, Gas & Other Fuels",86.8,4.33
1998-08-01,05,Furnishings & Household Maintenance,89.7,5.04
1998-08-01,06,Health,78.8,6.63
1998-08-01,07,Transport,72.4,-0.28
1998-08-01,09,"Recreation, Sport & Culture",90.2,4.04
1998-08-01,overall,Overall CPI,77.4,5.74
1998-09-01,01,Food & Beverages,70.0,9.2
1998-09-01,02,Alcoholic Beverages & Tobacco,50.8,5.18
1998-09-01,03,Clothing & Footwear,120.6,0.25
1998-09-01,04,"Housing, Water, Electricity, Gas & Other Fuels",86.8,4.33
1998-09-01,05,Furnishings & Household Maintenance,89.8,5.15
1998-09-01,06,Health,79.1,6.89
1998-09-01,07,Transport,72.4,-0.28
1998-09-01,09,"Recreation, Sport & Culture",90.2,3.92
1998-09-01,overall,Overall CPI,77.5,5.59
1998-10-01,01,Food & Beverages,70.1,8.51
1998-10-01,02,Alcoholic Beverages & Tobacco,51.0,5.59
1998-10-01,03,Clothing & Footwear,119.9,0.76
1998-10-01,04,"Housing, Water, Electricity, Gas & Other Fuels",86.8,4.2
1998-10-01,05,Furnishings & Household Maintenance,89.9,4.66
1998-10-01,06,Health,79.4,7.01
1998-10-01,07,Transport,72.4,-0.28
1998-10-01,09,"Recreation, Sport & Culture",90.3,4.03
1998-10-01,overall,Overall CPI,77.5,5.16
1998-11-01,01,Food & Beverages,71.0,9.74
1998-11-01,02,Alcoholic Beverages & Tobacco,53.5,10.77
1998-11-01,03,Clothing & Footwear,120.2,-0.5
1998-11-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.0,3.57
1998-11-01,05,Furnishings & Household Maintenance,90.0,4.53
1998-11-01,06,Health,79.6,6.7
1998-11-01,07,Transport,72.4,-0.55
1998-11-01,09,"Recreation, Sport & Culture",90.7,4.37
1998-11-01,overall,Overall CPI,78.1,5.68
1998-12-01,01,Food & Beverages,71.2,8.7
1998-12-01,02,Alcoholic Beverages & Tobacco,53.5,10.54
1998-12-01,03,Clothing & Footwear,119.8,-0.08
1998-12-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.0,3.45
1998-12-01,05,Furnishings & Household Maintenance,90.0,4.17
1998-12-01,06,Health,79.7,6.13
1998-12-01,07,Transport,72.4,0.0
1998-12-01,09,"Recreation, Sport & Culture",90.7,4.01
1998-12-01,overall,Overall CPI,78.2,5.25
1999-01-01,01,Food & Beverages,72.7,9.0
1999-01-01,02,Alcoholic Beverages & Tobacco,53.5,10.54
1999-01-01,03,Clothing & Footwear,119.0,-1.33
1999-01-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.0,3.45
1999-01-01,05,Furnishings & Household Maintenance,90.1,3.92
1999-01-01,06,Health,79.8,5.28
1999-01-01,07,Transport,72.4,-0.41
1999-01-01,09,"Recreation, Sport & Culture",91.9,4.67
1999-01-01,overall,Overall CPI,78.9,5.2
1999-02-01,01,Food & Beverages,72.9,6.42
1999-02-01,02,Alcoholic Beverages & Tobacco,53.5,10.08
1999-02-01,03,Clothing & Footwear,118.7,-2.55
1999-02-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.3,2.34
1999-02-01,05,Furnishings & Household Maintenance,90.2,3.2
1999-02-01,06,Health,80.0,4.44
1999-02-01,07,Transport,72.7,0.0
1999-02-01,09,"Recreation, Sport & Culture",91.9,4.2
1999-02-01,overall,Overall CPI,79.0,3.81
1999-03-01,01,Food & Beverages,72.3,4.48
1999-03-01,02,Alcoholic Beverages & Tobacco,53.6,10.06
1999-03-01,03,Clothing & Footwear,120.1,-1.31
1999-03-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.3,2.34
1999-03-01,05,Furnishings & Household Maintenance,90.2,2.15
1999-03-01,06,Health,80.2,3.75
1999-03-01,07,Transport,72.8,0.14
1999-03-01,09,"Recreation, Sport & Culture",91.8,3.73
1999-03-01,overall,Overall CPI,78.9,3.0
1999-04-01,01,Food & Beverages,72.7,4.6
1999-04-01,02,Alcoholic Beverages & Tobacco,53.6,9.84
1999-04-01,03,Clothing & Footwear,119.2,-2.45
1999-04-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.3,2.34
1999-04-01,05,Furnishings & Household Maintenance,90.2,1.69
1999-04-01,06,Health,80.3,3.35
1999-04-01,07,Transport,72.2,-0.55
1999-04-01,09,"Recreation, Sport & Culture",91.9,3.72
1999-04-01,overall,Overall CPI,78.9,2.87
1999-05-01,01,Food & Beverages,73.1,4.88
1999-05-01,02,Alcoholic Beverages & Tobacco,53.6,9.61
1999-05-01,03,Clothing & Footwear,119.0,-1.73
1999-05-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.4,1.27
1999-05-01,05,Furnishings & Household Maintenance,90.2,1.23
1999-05-01,06,Health,80.5,3.34
1999-05-01,07,Transport,73.0,0.55
1999-05-01,09,"Recreation, Sport & Culture",91.8,3.49
1999-05-01,overall,Overall CPI,79.2,2.99
1999-06-01,01,Food & Beverages,73.0,3.25
1999-06-01,02,Alcoholic Beverages & Tobacco,53.6,9.16
1999-06-01,03,Clothing & Footwear,119.0,-2.62
1999-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.4,1.27
1999-06-01,05,Furnishings & Household Maintenance,90.4,1.35
1999-06-01,06,Health,80.6,2.54
1999-06-01,07,Transport,73.0,0.69
1999-06-01,09,"Recreation, Sport & Culture",91.7,2.34
1999-06-01,overall,Overall CPI,79.1,2.06
1999-07-01,01,Food & Beverages,73.1,4.28
1999-07-01,02,Alcoholic Beverages & Tobacco,53.6,8.94
1999-07-01,03,Clothing & Footwear,118.6,-2.55
1999-07-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.5,1.39
1999-07-01,05,Furnishings & Household Maintenance,90.2,0.78
1999-07-01,06,Health,80.7,2.54
1999-07-01,07,Transport,73.1,0.97
1999-07-01,09,"Recreation, Sport & Culture",91.7,1.89
1999-07-01,overall,Overall CPI,79.2,2.46
1999-08-01,01,Food & Beverages,72.7,4.01
1999-08-01,02,Alcoholic Beverages & Tobacco,53.7,9.15
1999-08-01,03,Clothing & Footwear,118.7,-2.63
1999-08-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.7,1.04
1999-08-01,05,Furnishings & Household Maintenance,90.2,0.56
1999-08-01,06,Health,80.8,2.54
1999-08-01,07,Transport,73.0,0.83
1999-08-01,09,"Recreation, Sport & Culture",91.7,1.66
1999-08-01,overall,Overall CPI,79.1,2.2
1999-09-01,01,Food & Beverages,72.7,3.86
1999-09-01,02,Alcoholic Beverages & Tobacco,54.5,7.28
1999-09-01,03,Clothing & Footwear,118.4,-1.82
1999-09-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.7,1.04
1999-09-01,05,Furnishings & Household Maintenance,90.2,0.45
1999-09-01,06,Health,81.0,2.4
1999-09-01,07,Transport,73.1,0.97
1999-09-01,09,"Recreation, Sport & Culture",91.7,1.66
1999-09-01,overall,Overall CPI,79.1,2.06
1999-10-01,01,Food & Beverages,72.6,3.57
1999-10-01,02,Alcoholic Beverages & Tobacco,54.6,7.06
1999-10-01,03,Clothing & Footwear,117.8,-1.75
1999-10-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.7,1.04
1999-10-01,05,Furnishings & Household Maintenance,90.1,0.22
1999-10-01,06,Health,81.1,2.14
1999-10-01,07,Transport,73.1,0.97
1999-10-01,09,"Recreation, Sport & Culture",91.7,1.55
1999-10-01,overall,Overall CPI,79.1,2.06
1999-11-01,01,Food & Beverages,73.1,2.96
1999-11-01,02,Alcoholic Beverages & Tobacco,54.6,2.06
1999-11-01,03,Clothing & Footwear,117.8,-2.0
1999-11-01,04,"Housing, Water, Electricity, Gas & Other Fuels",87.8,0.92
1999-11-01,05,Furnishings & Household Maintenance,90.2,0.22
1999-11-01,06,Health,81.3,2.14
1999-11-01,07,Transport,73.1,0.97
1999-11-01,09,"Recreation, Sport & Culture",91.7,1.1
1999-11-01,overall,Overall CPI,79.3,1.54
1999-12-01,01,Food & Beverages,74.8,5.06
