Month,DivisionCode,Division,CPI Index,YoY %
1981-11-01,09,"Recreation, Sport & Culture",74.2,5.4
1981-11-01,overall,Overall CPI,46.1,8.73
1981-12-01,01,Food & Beverages,39.0,11.75
1981-12-01,02,Alcoholic Beverages & Tobacco,20.7,5.08
1981-12-01,03,Clothing & Footwear,96.5,6.98
1981-12-01,04,"Housing, Water, Electricity, Gas & Other Fuels",54.7,9.18
1981-12-01,05,Furnishings & Household Maintenance,65.2,5.33
1981-12-01,06,Health,43.4,6.9
1981-12-01,07,Transport,43.0,5.13
1981-12-01,09,"Recreation, Sport & Culture",74.3,4.5
1981-12-01,overall,Overall CPI,46.3,8.43
1982-01-01,01,Food & Beverages,39.4,10.06
1982-01-01,02,Alcoholic Beverages & Tobacco,20.7,4.02
1982-01-01,03,Clothing & Footwear,97.1,5.66
1982-01-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.3,7.85
1982-01-01,05,Furnishings & Household Maintenance,65.5,5.14
1982-01-01,06,Health,43.6,6.6
1982-01-01,07,Transport,43.0,6.7
1982-01-01,09,"Recreation, Sport & Culture",74.9,4.61
1982-01-01,overall,Overall CPI,46.8,7.59
1982-02-01,01,Food & Beverages,39.9,8.72
1982-02-01,02,Alcoholic Beverages & Tobacco,20.7,3.5
1982-02-01,03,Clothing & Footwear,97.6,5.17
1982-02-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.3,7.85
1982-02-01,05,Furnishings & Household Maintenance,65.6,4.79
1982-02-01,06,Health,43.8,6.57
1982-02-01,07,Transport,43.0,5.91
1982-02-01,09,"Recreation, Sport & Culture",75.1,4.31
1982-02-01,overall,Overall CPI,47.1,7.05
1982-03-01,01,Food & Beverages,40.0,7.82
1982-03-01,02,Alcoholic Beverages & Tobacco,20.8,1.46
1982-03-01,03,Clothing & Footwear,97.6,4.05
1982-03-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.3,7.85
1982-03-01,05,Furnishings & Household Maintenance,65.7,4.12
1982-03-01,06,Health,44.0,6.8
1982-03-01,07,Transport,43.1,6.16
1982-03-01,09,"Recreation, Sport & Culture",75.2,4.3
1982-03-01,overall,Overall CPI,47.2,6.31
1982-04-01,01,Food & Beverages,40.1,8.09
1982-04-01,02,Alcoholic Beverages & Tobacco,20.8,1.46
1982-04-01,03,Clothing & Footwear,97.7,4.05
1982-04-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.3,7.85
1982-04-01,05,Furnishings & Household Maintenance,65.8,3.79
1982-04-01,06,Health,44.1,5.25
1982-04-01,07,Transport,43.1,5.9
1982-04-01,09,"Recreation, Sport & Culture",75.3,4.01
1982-04-01,overall,Overall CPI,47.4,6.28
1982-05-01,01,Food & Beverages,40.4,8.6
1982-05-01,02,Alcoholic Beverages & Tobacco,21.3,3.9
1982-05-01,03,Clothing & Footwear,98.0,3.81
1982-05-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.3,6.83
1982-05-01,05,Furnishings & Household Maintenance,65.9,3.62
1982-05-01,06,Health,44.2,4.74
1982-05-01,07,Transport,43.1,3.61
1982-05-01,09,"Recreation, Sport & Culture",75.5,3.0
1982-05-01,overall,Overall CPI,47.5,6.03
1982-06-01,01,Food & Beverages,40.7,8.24
1982-06-01,02,Alcoholic Beverages & Tobacco,21.3,3.9
1982-06-01,03,Clothing & Footwear,98.4,3.69
1982-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.7,6.78
1982-06-01,05,Furnishings & Household Maintenance,66.0,3.13
1982-06-01,06,Health,44.5,5.2
1982-06-01,07,Transport,43.1,2.38
1982-06-01,09,"Recreation, Sport & Culture",75.6,3.14
1982-06-01,overall,Overall CPI,47.7,5.76
1982-07-01,01,Food & Beverages,40.8,8.22
1982-07-01,02,Alcoholic Beverages & Tobacco,21.3,3.9
1982-07-01,03,Clothing & Footwear,98.7,3.57
1982-07-01,04,"Housing, Water, Electricity, Gas & Other Fuels",57.9,5.85
1982-07-01,05,Furnishings & Household Maintenance,66.2,2.64
1982-07-01,06,Health,44.6,4.94
1982-07-01,07,Transport,43.2,1.89
1982-07-01,09,"Recreation, Sport & Culture",75.6,2.58
1982-07-01,overall,Overall CPI,48.0,5.49
1982-08-01,01,Food & Beverages,40.9,7.07
1982-08-01,02,Alcoholic Beverages & Tobacco,21.4,3.88
1982-08-01,03,Clothing & Footwear,98.8,3.35
1982-08-01,04,"Housing, Water, Electricity, Gas & Other Fuels",57.8,5.67
1982-08-01,05,Furnishings & Household Maintenance,66.3,2.47
1982-08-01,06,Health,44.6,4.45
1982-08-01,07,Transport,43.2,1.65
1982-08-01,09,"Recreation, Sport & Culture",75.7,2.16
1982-08-01,overall,Overall CPI,48.1,5.02
1982-09-01,01,Food & Beverages,40.8,6.53
1982-09-01,02,Alcoholic Beverages & Tobacco,21.4,3.88
1982-09-01,03,Clothing & Footwear,98.8,3.13
1982-09-01,04,"Housing, Water, Electricity, Gas & Other Fuels",57.8,5.67
1982-09-01,05,Furnishings & Household Maintenance,66.2,2.0
1982-09-01,06,Health,44.7,3.95
1982-09-01,07,Transport,43.3,1.64
1982-09-01,09,"Recreation, Sport & Culture",75.8,2.29
1982-09-01,overall,Overall CPI,48.1,4.57
1982-10-01,01,Food & Beverages,40.5,5.74
1982-10-01,02,Alcoholic Beverages & Tobacco,21.4,3.88
1982-10-01,03,Clothing & Footwear,99.2,3.01
1982-10-01,04,"Housing, Water, Electricity, Gas & Other Fuels",57.9,5.85
1982-10-01,05,Furnishings & Household Maintenance,66.3,2.0
1982-10-01,06,Health,44.7,3.23
1982-10-01,07,Transport,43.3,1.64
1982-10-01,09,"Recreation, Sport & Culture",75.8,2.16
1982-10-01,overall,Overall CPI,48.0,4.35
1982-11-01,01,Food & Beverages,40.5,5.19
1982-11-01,02,Alcoholic Beverages & Tobacco,25.3,22.82
1982-11-01,03,Clothing & Footwear,99.8,3.42
1982-11-01,04,"Housing, Water, Electricity, Gas & Other Fuels",57.9,5.85
1982-11-01,05,Furnishings & Household Maintenance,66.8,2.61
1982-11-01,06,Health,44.7,3.0
1982-11-01,07,Transport,44.1,3.04
1982-11-01,09,"Recreation, Sport & Culture",75.2,1.35
1982-11-01,overall,Overall CPI,48.5,5.21
1982-12-01,01,Food & Beverages,40.5,3.85
1982-12-01,02,Alcoholic Beverages & Tobacco,25.5,23.19
1982-12-01,03,Clothing & Footwear,100.3,3.94
1982-12-01,04,"Housing, Water, Electricity, Gas & Other Fuels",57.9,5.85
1982-12-01,05,Furnishings & Household Maintenance,66.9,2.61
1982-12-01,06,Health,49.1,13.13
1982-12-01,07,Transport,44.3,3.02
1982-12-01,09,"Recreation, Sport & Culture",75.4,1.48
1982-12-01,overall,Overall CPI,48.7,5.18
1983-01-01,01,Food & Beverages,40.6,3.05
1983-01-01,02,Alcoholic Beverages & Tobacco,25.6,23.67
1983-01-01,03,Clothing & Footwear,100.8,3.81
1983-01-01,04,"Housing, Water, Electricity, Gas & Other Fuels",59.5,5.68
1983-01-01,05,Furnishings & Household Maintenance,67.4,2.9
1983-01-01,06,Health,49.4,13.3
1983-01-01,07,Transport,44.4,3.26
1983-01-01,09,"Recreation, Sport & Culture",75.3,0.53
1983-01-01,overall,Overall CPI,49.2,5.13
1983-02-01,01,Food & Beverages,40.0,0.25
1983-02-01,02,Alcoholic Beverages & Tobacco,25.7,24.15
1983-02-01,03,Clothing & Footwear,101.1,3.59
1983-02-01,04,"Housing, Water, Electricity, Gas & Other Fuels",59.6,5.86
1983-02-01,05,Furnishings & Household Maintenance,67.5,2.9
1983-02-01,06,Health,49.6,13.24
1983-02-01,07,Transport,44.4,3.26
1983-02-01,09,"Recreation, Sport & Culture",75.4,0.4
1983-02-01,overall,Overall CPI,49.0,4.03
1983-03-01,01,Food & Beverages,40.3,0.75
1983-03-01,02,Alcoholic Beverages & Tobacco,25.7,23.56
1983-03-01,03,Clothing & Footwear,101.2,3.69
1983-03-01,04,"Housing, Water, Electricity, Gas & Other Fuels",59.8,6.22
1983-03-01,05,Furnishings & Household Maintenance,67.6,2.89
1983-03-01,06,Health,49.9,13.41
1983-03-01,07,Transport,44.5,3.25
1983-03-01,09,"Recreation, Sport & Culture",75.3,0.13
1983-03-01,overall,Overall CPI,49.1,4.03
1983-04-01,01,Food & Beverages,40.2,0.25
1983-04-01,02,Alcoholic Beverages & Tobacco,26.6,27.88
1983-04-01,03,Clothing & Footwear,101.4,3.79
1983-04-01,04,"Housing, Water, Electricity, Gas & Other Fuels",59.8,6.22
1983-04-01,05,Furnishings & Household Maintenance,67.6,2.74
1983-04-01,06,Health,49.9,13.15
1983-04-01,07,Transport,44.0,2.09
1983-04-01,09,"Recreation, Sport & Culture",75.4,0.13
1983-04-01,overall,Overall CPI,49.1,3.59
1983-05-01,01,Food & Beverages,40.7,0.74
1983-05-01,02,Alcoholic Beverages & Tobacco,26.6,24.88
1983-05-01,03,Clothing & Footwear,101.7,3.78
1983-05-01,04,"Housing, Water, Electricity, Gas & Other Fuels",59.8,6.22
1983-05-01,05,Furnishings & Household Maintenance,67.7,2.73
